participant_id,full_name,nationality,gender,age_group,occupation,university_institution,study_level,year_of_study,subject_area,prior_ai_experience,condition,session_datetime,session_duration_mins,suspicion_probe,financial_literacy_score_0_3,need_for_cognition_1_5,technology_disposition_1_5,ai_follow_rate_0_1,decision_accuracy_rate_0_1,calibration_score,avg_confidence_1_5,avg_response_time_ms,ai_errors_caught_0_3,override_correct_count,override_wrong_count,mental_model_estimate_pct,mental_model_accurate,trust_in_automation_1_7,perceived_fairness_1_7,appeal_intent_1_5,retrust_organisation_1_5
P0001,Shakibul Hasan,Bangladeshi,Male,18-22,Undergraduate student,University of Surrey,MSc / MA / MEng,Year 3,Information Technology,None,B_surface,2026-08-08 15:01:11,52.7,No,2,2.5,3.2,0.8,0.7,0.648,3.3,15362,1,1,1,76,True,3.54,3.68,2,3
P0002,Lutfa Begum,Bangladeshi,Female,18-22,Undergraduate student,Goldsmiths University of London,Prefer not to say,Year 1,Psychology,High,B_surface,2026-08-07 12:34:09,45.3,No,2,3.8,3.7,0.6,0.5,-0.302,3.4,16822,1,1,3,45,False,3.74,3.88,4,5
P0003,Patrick Nguyen,Other,Male,18-22,Undergraduate student,Middlesex University,BSc / BEng / BA,Year 2,Business & Management,Moderate,A_no_explanation,2026-08-16 10:01:56,59.4,No,2,4.6,3.0,0.5,0.6,0.078,3.1,15122,2,2,3,46,False,4.14,3.46,3,3
P0004,Noor Islam,Bangladeshi,Male,41-50,Postgraduate student (MSc),University of Dhaka,PhD / MPhil,PhD Year 1,Finance & Accounting,High,C_counterfactual,2026-08-06 10:32:42,41.8,No,2,3.7,2.7,0.6,0.5,0.204,3.2,20205,1,1,3,75,True,4.41,5.49,5,3
P0005,Ashraful Alam,Bangladeshi,Male,18-22,Working professional,Brunel University London,MSc / MA / MEng,PhD Year 2,Information Technology,Low,B_surface,2026-08-10 09:53:23,39.7,No,3,4.1,3.7,0.3,0.4,-0.431,3.6,18064,2,2,5,83,False,4.28,4.3,2,5
P0006,Ali Reza,Other,Male,28-32,Undergraduate student,North South University,BSc / BEng / BA,Year 2,Finance & Accounting,Low,B_surface,2026-08-09 10:23:19,51.7,Somewhat — thought it was about AI accuracy,3,1.6,3.9,0.8,0.5,0.128,3.3,15482,0,0,2,51,False,3.78,4.21,3,5
P0007,Belal Hossain,Bangladeshi,Male,18-22,Academic / lecturer,Middlesex University,PhD / MPhil,PhD Year 1,Media & Communication,Low,A_no_explanation,2026-08-03 11:34:09,47.2,No,2,4.1,3.8,0.8,0.7,-0.028,3.3,13112,1,1,1,42,False,4.24,4.86,3,4
P0008,Jide Oluwole,Nigerian,Male,18-22,Postgraduate student (MSc),University of East London,Prefer not to say,Completed,Graphic Design,High,C_counterfactual,2026-08-06 16:39:15,42.1,No,2,3.0,2.9,0.2,0.3,-0.043,3.4,20907,2,2,6,78,True,3.27,6.54,4,5
P0009,Sohanur Rahman,Bangladeshi,Male,23-27,Student & part-time worker,Coventry University,MSc / MA / MEng,PG Year 1,Media & Communication,Moderate,B_surface,2026-08-10 10:06:20,58.7,No,2,1.7,3.2,0.8,0.9,0.43,3.0,12729,2,2,0,100,False,4.97,5.84,3,5
P0010,Imran Butt,Pakistani,Male,23-27,Postgraduate student (MSc),BUET,BSc / BEng / BA,Year 3,Cybersecurity,Moderate,A_no_explanation,2026-08-02 14:06:55,48.8,Yes — I thought it was about trust in AI,1,3.9,2.9,0.7,0.4,0.055,3.2,12959,0,0,3,51,False,4.12,4.26,3,3
