participant_id,full_name,nationality,age_group,condition,financial_literacy,need_for_cognition,technology_disposition,scenario,applicant,ai_verdict,ai_correct,participant_decision,followed_ai,correct_decision,confidence_1_5,response_time_ms
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,1,"Sarah M., 34, Part-time",D,True,D,True,True,4,22886
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,2,"James K., 28, Full-time",A,True,D,False,False,3,18756
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,3,"Priya R., 41, Self-employed",D,False,D,True,False,2,8304
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,4,"Marcus T., 55, Part-time",D,True,D,True,True,3,14379
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,5,"Anika P., 29, Full-time",D,True,D,True,True,3,16879
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,6,"David H., 47, Full-time",A,True,A,True,True,4,14537
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,7,"Fatima A., 33, Contract",D,False,A,False,True,3,19748
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,8,"Tom B., 22, Full-time",D,True,D,True,True,4,13511
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,9,"Olga S., 38, Full-time",A,True,A,True,True,4,15108
P0001,Shakibul Hasan,Bangladeshi,18-22,B_surface,2,2.5,3.2,10,"Chen W., 45, Part-time",A,False,A,True,False,3,9517
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,1,"Sarah M., 34, Part-time",D,True,A,False,False,3,25208
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,2,"James K., 28, Full-time",A,True,A,True,True,4,9238
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,3,"Priya R., 41, Self-employed",D,False,A,False,True,3,24495
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,4,"Marcus T., 55, Part-time",D,True,A,False,False,4,22711
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,5,"Anika P., 29, Full-time",D,True,D,True,True,4,10598
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,6,"David H., 47, Full-time",A,True,D,False,False,3,19635
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,7,"Fatima A., 33, Contract",D,False,D,True,False,4,11965
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,8,"Tom B., 22, Full-time",D,True,D,True,True,2,12857
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,9,"Olga S., 38, Full-time",A,True,A,True,True,3,15529
P0002,Lutfa Begum,Bangladeshi,18-22,B_surface,2,3.8,3.7,10,"Chen W., 45, Part-time",A,False,A,True,False,4,15984
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,1,"Sarah M., 34, Part-time",D,True,A,False,False,3,19383
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,2,"James K., 28, Full-time",A,True,A,True,True,5,9188
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,3,"Priya R., 41, Self-employed",D,False,A,False,True,3,18650
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,4,"Marcus T., 55, Part-time",D,True,D,True,True,3,11588
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,5,"Anika P., 29, Full-time",D,True,D,True,True,4,13403
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,6,"David H., 47, Full-time",A,True,A,True,True,3,12533
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,7,"Fatima A., 33, Contract",D,False,A,False,True,1,16679
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,8,"Tom B., 22, Full-time",D,True,A,False,False,4,19292
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,9,"Olga S., 38, Full-time",A,True,D,False,False,2,19890
P0003,Patrick Nguyen,Other,18-22,A_no_explanation,2,4.6,3.0,10,"Chen W., 45, Part-time",A,False,A,True,False,3,10614
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,1,"Sarah M., 34, Part-time",D,True,D,True,True,5,18819
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,2,"James K., 28, Full-time",A,True,D,False,False,2,22907
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,3,"Priya R., 41, Self-employed",D,False,D,True,False,3,17937
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,4,"Marcus T., 55, Part-time",D,True,A,False,False,2,20733
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,5,"Anika P., 29, Full-time",D,True,D,True,True,4,18700
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,6,"David H., 47, Full-time",A,True,D,False,False,4,31899
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,7,"Fatima A., 33, Contract",D,False,D,True,False,4,14014
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,8,"Tom B., 22, Full-time",D,True,D,True,True,3,20853
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,9,"Olga S., 38, Full-time",A,True,A,True,True,2,10600
P0004,Noor Islam,Bangladeshi,41-50,C_counterfactual,2,3.7,2.7,10,"Chen W., 45, Part-time",A,False,D,False,True,3,25591
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,1,"Sarah M., 34, Part-time",D,True,D,True,True,3,18226
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,2,"James K., 28, Full-time",A,True,D,False,False,3,21364
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,3,"Priya R., 41, Self-employed",D,False,D,True,False,4,6914
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,4,"Marcus T., 55, Part-time",D,True,D,True,True,4,13628
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,5,"Anika P., 29, Full-time",D,True,A,False,False,3,21143
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,6,"David H., 47, Full-time",A,True,D,False,False,4,21472
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,7,"Fatima A., 33, Contract",D,False,A,False,True,3,27528
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,8,"Tom B., 22, Full-time",D,True,A,False,False,4,16318
